Unnamed: 0,year,month,day,country,title,text,clean-text,hazard,clean-title,product
10,2000,10,31,au,Woolworths Limited—Regular Beef Mince,"PRA No. 2000/4516 Date published 31 Oct 2000 Product description Distributed via Woolworths Meat Departments. Sold between 9 & 24 October 2000 from supermarkets in South Australia and the Northern Territory. All retail tray sizes. Random weights. What are the defects? Possible white plastic fragment contamination. What are the hazards? Contamination. What should consumers do? Return to the nearest Woolworths Supermarket for a full cash refund. Customers are asked to advise family and friends about this recall. For further information call toll free number 1800 505 700. Supplier Woolworths Ltd Where the product was sold Northern Territory South Australia Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Meat, seafood and deli × Close",pra 20004516 date published 31 oct 2000 product description distributed woolworths meat departments sold 9 24 october 2000 supermarkets south australia northern territory retail tray sizes random weights defects possible white plastic fragment contamination hazards contamination consumers return nearest woolworths supermarket cash refund customers asked advise family friends recall information toll free number 1800 505 700 supplier woolworths product sold northern territory south australia coordinating agency food standards australia new zealand coordinating agency recall product category meat seafood deli close,metal fragment,woolworths limitedregular beef mince,minced beef
11,2000,12,15,au,McWilliams Wines—Holsten Imported Beer,"PRA No. 2000/4579 Date published 15 Dec 2000 Product description 5 Litre Party Keg (keg is made of steel). Batch Code: L917206, L917506, L919506 (located on the bottom of the keg). What are the defects? Activity of a yeast strain within some kegs may cause a build up of pressure and possible seal failure. The kegs may be distorted by the build up of pressure and there is a risk of beer being ejected from the keg at high velocity. What should consumers do? Contact McWilliams's on 1800 800 584 to arrange collection or alternatively return the kegs to the point of purchase for an immediate full cash refund. Supplier McWilliams Wines Pty Ltd Where the product was sold Australian Capital Territory New South Wales Queensland South Australia Victoria Western Australia Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Drinks × Close",pra 20004579 date published 15 dec 2000 product description 5 litre party keg keg steel batch code l917206 l917506 l919506 located keg defects activity yeast strain kegs cause build pressure possible seal failure kegs distorted build pressure risk beer ejected keg high velocity consumers contact mcwilliamss 1800 800 584 arrange collection alternatively return kegs point purchase immediate cash refund supplier mcwilliams wines pty product sold australian capital territory new south wales queensland south australia victoria western australia coordinating agency food standards australia new zealand coordinating agency recall product category drinks close,packaging defect,mcwilliams winesholsten imported beer,beer
12,2001,3,8,au,Safcol Australia Pty Ltd—Canned Tuna with Satay Sauce,"PRA No. 2001/4677 Date published 8 Mar 2001 Product description Safcol Asian Kitchen Brand. All Production Codes of the 95g Satay Tuna variety. Ring Pull Can 95gm. Distributed via all major retail chains (e.g. Coles, Woolworths, Franklins, Metcash). What are the defects? Does not conform to the Food Standards Code. Product has higher than acceptable levels of aflatoxins. What should consumers do? Return the product to the point of purchase for a full cash refund. For further information please call 1800 819 785. Supplier Safcol Australia Pty Ltd Where the product was sold Nationally Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × Close",pra 20014677 date published 8 mar 2001 product description safcol asian kitchen brand production codes 95g satay tuna variety ring pull 95gm distributed major retail chains coles woolworths franklins metcash defects does conform food standards code product higher acceptable levels aflatoxins consumers return product point purchase cash refund information 1800 819 785 supplier safcol australia pty product sold nationally coordinating agency food standards australia new zealand coordinating agency recall product category groceries close,Aflatoxin,safcol australia pty ltdcanned tuna satay sauce,tuna
13,2001,8,20,au,Golden Mountain—Soya Bean Sauce,"PRA No. 2001/4893 Date published 20 Aug 2001 Product description Golden Mountain Brand Soya Bean Seasoning Sauce. All Use By Dates. 740ml & 200ml Glass Bottles. Manufactured in Thailand. Mainly sold through Asian retail outlets. What are the defects? Presence of a chemical substance that exceeds acceptable levels. What should consumers do? Return the product to the point of purchase for an immediate refund. For further information please contact Food Safety Section, Dept of Health WA (08) 9388 4903. Supplier Kongs Trading Pty Ltd Where the product was sold Western Australia Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × Close",pra 20014893 date published 20 aug 2001 product description golden mountain brand soya bean seasoning sauce use dates 740ml 200ml glass bottles manufactured thailand mainly sold asian retail outlets defects presence chemical substance exceeds acceptable levels consumers return product point purchase immediate refund information contact food safety section dept health wa 08 9388 4903 supplier kongs trading pty product sold western australia coordinating agency food standards australia new zealand coordinating agency recall product category groceries close,chemical,golden mountainsoya bean sauce,soy sauce
14,2001,10,15,au,Quattro's—Focaccia Bread & Roll Mix,"PRA No. 2001/5009 Date published 15 Oct 2001 Product description Garlic Flavour - 1 kilo; and Sun dried tomato Flavour - 1 kilo. All use by dates. Product is distributed via Coles - all States and Territories; and Woolworths - Vic, NSW & Qld. What are the defects? Possible galvanised wire metal contamination. What are the hazards? Contamination. What should consumers do? Return the Product to the place of purchase for a full refund. Any enquiries to (03) 9357 7411. Supplier Quattro's Bakehouse and Fine Foods Where the product was sold Nationally Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × Close",pra 20015009 date published 15 oct 2001 product description garlic flavour 1 kilo sun dried tomato flavour 1 kilo use dates product distributed coles states territories woolworths vic nsw qld defects possible galvanised wire metal contamination hazards contamination consumers return product place purchase refund enquiries 03 9357 7411 supplier quattros bakehouse fine foods product sold nationally coordinating agency food standards australia new zealand coordinating agency recall product category groceries close,metal fragment,quattrosfocaccia bread roll mix,bread
15,2002,1,14,na,Polycyclic Aromatic Hydrocarbons - Withdrawal Of Two Brands Of Olive-Pomace Oil,"Polycyclic Aromatic Hydrocarbons - Withdrawal Of Two Brands Of Olive-Pomace Oil Monday 14 January 2002 Category D: For information only Heads of Environmental Health Services and Directors of Trading Standards will wish to be aware of the withdrawal of two brands of Italian olive-pomace oil due to slightly high levels of polycyclic aromatic hydrocarbons (PAH's). Specifically, benz(a)anthracene has been found at concentrations greater than 2ppb in the following products: 
Product Name: Colavita Olive-Pomace Oil 
Best Before Date: 31 May 2003 
Lot Identification: L151 AR 0621 
Product Description: Olive-Pomace Oil packed in a 5 litre tins 
Manufacturer: Colavita S.P.A 
Level of benz(a)anthracene: 2.6 ppb 
Country of Origin: Italy 
Importer: Continental Wine & Food Ltd, Trafalgar Mills, Leeds Road, Huddersfield, West Yorkshire HD2 1YY 

Product Name: Molivo Olive-Pomace Oil 
Best Before Date: 31 July 2003 
Lot Identification: L197 AR 0621 
Product Description: Olive-Pomace Oil packed in 5 litre bottles 
Manufacturer: Colavita S.P.A Level of benz(a)anthracene: 2.7 ppb 
Country of Origin: Italy 
Importer: Continental Wine & Food Ltd, Trafalgar Mills, Leeds Road, Huddersfield, West Yorkshire HD2 1YY 
Additional Information: These batches of the products have been withdrawn from sale and the remaining stock will be returned to the supplier. Customers are also advised to return any stock to the UK supplier. Kirklees Metropolitan Council, 01484 226452, is the Home Authority for the importer. Back to top",polycyclic aromatic hydrocarbons withdrawal brands olivepomace oil monday 14 january 2002 category d information heads environmental health services directors trading standards wish aware withdrawal brands italian olivepomace oil slightly high levels polycyclic aromatic hydrocarbons pahs specifically benzaanthracene concentrations greater 2ppb following products product colavita olivepomace oil best date 31 2003 lot identification l151 ar 0621 product description olivepomace oil packed 5 litre tins manufacturer colavita spa level benzaanthracene 26 ppb country origin italy importer continental wine food trafalgar mills leeds road huddersfield west yorkshire hd2 1yy product molivo olivepomace oil best date 31 july 2003 lot identification l197 ar 0621 product description olivepomace oil packed 5 litre bottles manufacturer colavita spa level benzaanthracene 27 ppb country origin italy importer continental wine food trafalgar mills leeds road huddersfield west yorkshire hd2 1yy additional information batches products withdrawn sale remaining stock returned supplier customers advised return stock uk supplier kirklees metropolitan council 01484 226452 home authority importer,polycyclic aromatic hydrocarbons,polycyclic aromatic hydrocarbons withdrawal brands olivepomace oil,olive oil
16,2002,2,11,us,PA Firm Recalls Ravioli for Undeclared Allergen and Incorret Labels,"WASHINGTON, Feb. 11, 2002  ConAgra
      Grocery Products Co., a Milton, Pa., establishment, is voluntarily
      recalling approximately 386,000 pounds of canned ravioli because it
      contains an undeclared allergen  soy protein  and is incorrectly
      labeled, the U.S. Department of Agricultures Food Safety and Inspection
      Service announced today.
      Soy protein is a known allergen. Persons who have an allergy or severe
      sensitivity to soy protein run the risk of possible allergic reactions if
      they consume this product.
      The product being recalled is 15-ounce cans of ""Chef BOYARDEE 99%
      Fat Free CHEESE Ravioli in Tomato Sauce,"" which actually contain
      15-ounces of beef ravioli. The bottom of each can bears the establishment
      code ""794,"" followed by the case code ""J17101 RF.""
      The ravioli was produced on Oct. 17, 2001 and distributed to retail
      establishments nationwide. The product was also exported to Haiti,
      Guatemala and Bermuda.
      ""We urge consumers, especially those allergic or sensitive to soy,
      to check their cupboards and pantries,"" said Margaret OK. Glavin,
      acting FSIS administrator. ""If they find the product listed above,
      consumers should not eat it, but return it to the point of purchase.""
      ConAgra identified the labeling problem after customers notified the
      company of the mislabeling.
      Consumers with questions about the recall may contact ConAgras
      consumer hotline at (800) 414-2500. Media with questions may contact Kay
      Carpenter, Corporate Communications, at (949) 437-1144.
      Consumers with food safety questions can phone the toll-free USDA Meat
      and Poultry Hotline at l-800-535-4555. The hotline can be reached from l0
      a.m. to 4 p.m. (Eastern Time) Monday through Friday, and recorded food
      safety messages are available 24 hours a day.
    #
    NOTE: Access news releases and other information at the FSIS Web site at http://www.fsis.usda.gov 
    FOOD ALLERGIES Consumers who have a food allergy or severe food sensitivity should always
    read ingredient labels. In restaurants, they should ask whether an allergy-causing
    ingredient is in the food. 
    A food allergy occurs when the immune
    system reacts to a certain food, usually within minutes after the food has been consumed. 
    Symptoms may include throat swelling,
    trouble breathing, or a rash. 
    Strictly avoiding the allergy-causing food
    is the only absolute way to avoid a reaction. 
    Several foods account for 90% of allergic
    reactions. They include peanuts, tree nuts (walnuts, pecans, etc.), fish, shellfish, eggs,
    milk, soy, and wheat. 
    Persons who have a severe, life-threatening
    food allergy should always carry, and know how to administer, prescription epinephrine.",washington feb 11 2002 conagra grocery products milton pa establishment voluntarily recalling approximately 386000 pounds canned ravioli contains undeclared allergen soy protein incorrectly labeled department agricultures food safety inspection service announced today soy protein known allergen persons allergy severe sensitivity soy protein run risk possible allergic reactions consume product product recalled 15ounce cans chef boyardee 99 fat free cheese ravioli tomato sauce actually contain 15ounces beef ravioli bears establishment code 794 followed case code j17101 rf ravioli produced oct 17 2001 distributed retail establishments nationwide product exported haiti guatemala bermuda urge consumers especially allergic sensitive soy check cupboards pantries said margaret ok glavin acting fsis administrator product listed consumers eat return point purchase conagra identified labeling problem customers notified company mislabeling consumers questions recall contact conagras consumer hotline 800 4142500 media questions contact kay carpenter corporate communications 949 4371144 consumers food safety questions phone tollfree usda meat poultry hotline l8005354555 hotline reached l0 4 pm eastern time monday friday recorded food safety messages available 24 hours day note access news releases information fsis web site httpwwwfsisusdagov food allergies consumers food allergy severe food sensitivity read ingredient labels restaurants ask allergycausing ingredient food food allergy occurs immune reacts certain food usually minutes food consumed symptoms include throat swelling trouble breathing rash strictly avoiding allergycausing food absolute way avoid reaction foods account 90 allergic reactions include peanuts tree nuts walnuts pecans fish shellfish eggs milk soy wheat persons severe lifethreatening food allergy carry know administer prescription epinephrine,soybeans and products thereof,pa firm recalls ravioli undeclared allergen incorret labels,ready to eat - cook meals
17,2002,3,11,au,Rose Valley Cheese Co—Romano Cheese Wheel,PRA No. 2002/5242 Date published 11 Mar 2002 Product description 2 - 2.5kg Cheese wheel covered with a plastic emulsion brush on coating. Only sold from the factory outlet in South East outer metro region of Perth. It was not distributed to any stores. Sold between 11 and 16 February 2002. What are the defects? Some of this product may be contaminated with E. coli. What are the hazards? Contamination. What should consumers do? Do not use the product and return it to the point of purchase for a full refund. For further information contact Rose Valley Cheese Co on (08) 9399 2055. Supplier Rose Valley Cheese Co Where the product was sold Western Australia Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Eggs and dairy × Close,pra 20025242 date published 11 mar 2002 product description 2 25kg cheese wheel covered plastic emulsion brush coating sold factory outlet south east outer metro region perth distributed stores sold 11 16 february 2002 defects product contaminated e coli hazards contamination consumers use product return point purchase refund information contact rose valley cheese 08 9399 2055 supplier rose valley cheese product sold western australia coordinating agency food standards australia new zealand coordinating agency recall product category eggs dairy close,escherichia coli,rose valley cheese coromano cheese wheel,cheese
18,2002,10,29,au,Manassen Foods Australia Pty Ltd—Australian Garlic Bread,PRA No. 2002/5794 Date published 29 Oct 2002 Product description Twin Pack 400g Net. Various use by Dates - 08/12/02 and 15/12/02. What are the defects? Incorrect use by dates have been detected on two batches of this product. Tests indicate that the product may spoil causing mould contamination before the use by date on the packaging. What are the hazards? Contamination. What should consumers do? Return the product to the point of purchase for an immediate cash refund. For further information please call 1800 888 606. Supplier Manassen Foods Australia Pty Ltd Where the product was sold Australian Capital Territory New South Wales Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × Close,pra 20025794 date published 29 oct 2002 product description twin pack 400g net various use dates 081202 151202 defects incorrect use dates detected batches product tests indicate product spoil causing mould contamination use date packaging hazards contamination consumers return product point purchase immediate cash refund information 1800 888 606 supplier manassen foods australia pty product sold australian capital territory new south wales coordinating agency food standards australia new zealand coordinating agency recall product category groceries close,other,manassen foods australia pty ltdaustralian garlic bread,bread
19,2002,11,15,na,Product Recall of Cotswold Spring Natural Mineral Water and Aquaid Cotswold Natural Mineral Water,"Product Recall of Cotswold Spring Natural Mineral Water and Aquaid Cotswold Natural Mineral Water Friday 15 November 2002 Category D: For information only Heads of Environmental Health Services and Directors of Trading Standards will wish to be aware of a product recall by J H Marshall (Thornbury) Ltd of some of its bottled water products, because of bacterial contamination. The Company is issuing a press release today (see below) and a product recall notice which should appear in the media. Press release issued by J H Marshall (Thornbury) Ltd PRODUCT RECALL Cotswold Spring Natural Mineral Water Aquaid Cotswold Natural Mineral Water As a precaution, JH Marshall (Thornbury) Ltd is recalling some of its bottled water products. The product recall is being undertaken on the advice of the Food Standards Agency, which considers that the water may pose a health risk to some members of the public. The following brands are affected by this recall: Cotswold Spring Natural Mineral Water Aquaid Cotswold Natural Mineral Water The specific products are those with best before dates on the bottle cap of between 18/09/03 and 28/10/03. The bottles are both glass and plastic, of sizes between 330ml and 5 litres. Both still and sparkling water are being recalled. This recall only affects these bottled waters, sold in shops. Water cooler bottles sold to businesses under these brand names are not affected. Customers are asked not to consume affected product and to return all bottles to the place of purchase for a refund. For more information contact the Customer Advice Line on 01454 313681. The company apologises to its customers for any inconvenience caused by the withdrawal of this product. Back to top Note to Editors: JH Marshall (Thornbury) Ltd produces the Cotswold Spring and Aquaid Cotswold brands and is a small regional bottler. Cotswold Spring is outside the top 25 bottled water brands in the UK and had a market share of 0.6% in 2001 (Source: Zenith International). Distribution is focused on the West Country, London and the West Midlands. A small amount of product is also sold in Manchester. Aquaid Cotswold Natural Mineral Water in bottles (330ml – 5 litre) has only minor distribution and in East Anglia only. The company would like to re-iterate that water cooler bottles sold to businesses under these brand names are not affected. JH Marshall (Thornbury) Ltd has been bottling water for 16 years, during which time it has had an exemplary record of delivering high quality bottled water to its customers. For information contact John Marshall on 01454 312403."" Back to top",product recall cotswold spring natural mineral water aquaid cotswold natural mineral water friday 15 november 2002 category d information heads environmental health services directors trading standards wish aware product recall j h marshall thornbury bottled water products bacterial contamination company issuing press release today product recall notice appear media press release issued j h marshall thornbury product recall cotswold spring natural mineral water aquaid cotswold natural mineral water precaution jh marshall thornbury recalling bottled water products product recall undertaken advice food standards agency considers water pose health risk members public following brands affected recall cotswold spring natural mineral water aquaid cotswold natural mineral water specific products best dates bottle cap 180903 281003 bottles glass plastic sizes 330ml 5 litres sparkling water recalled recall affects bottled waters sold shops water cooler bottles sold businesses brand names affected customers asked consume affected product return bottles place purchase refund information contact customer advice line 01454 313681 company apologises customers inconvenience caused withdrawal product note editors jh marshall thornbury produces cotswold spring aquaid cotswold brands small regional bottler cotswold spring outside 25 bottled water brands uk market share 06 2001 source zenith international distribution focused west country london west midlands small product sold manchester aquaid cotswold natural mineral water bottles 330ml 5 litre minor distribution east anglia company like reiterate water cooler bottles sold businesses brand names affected jh marshall thornbury bottling water 16 years time exemplary record delivering high quality bottled water customers information contact john marshall 01454 312403,heavy metals,product recall cotswold spring natural mineral water aquaid cotswold natural mineral water,spring water
20,2002,11,25,au,Delphic Wholesalers (Aust.) Pty Ltd—Fetta Cheese and Parmesan Cheese,"PRA No. 2002/5841 Date published 25 Nov 2002 Product description Delphic Star Brand Skim Milk Fetta Wedges (approx. 250-330 grams); and Mil Lel Brand Superior Parmesan Wedges (approx. 250-300 grams). Best Before Dates: 13 May 03, 14 May 03 & 15 May 03. What are the defects? Presence of Listeria monocytogenes detected, which may cause illness in pregnant women, the very young, the elderly and people with low immune systems. What are the hazards? Contamination. What should consumers do? Do not consume these products. Return the product to the point of purchase for an immediate full cash refund. For further information please call 1300 139 214. Supplier Delphic Wholesalers (Aust.) Pty Ltd Where the product was sold Victoria Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Eggs and dairy × Close",pra 20025841 date published 25 nov 2002 product description delphic star brand skim milk fetta wedges approx 250330 grams mil lel brand superior parmesan wedges approx 250300 grams best dates 13 03 14 03 15 03 defects presence listeria monocytogenes detected cause illness pregnant women young elderly people low immune systems hazards contamination consumers consume products return product point purchase immediate cash refund information 1300 139 214 supplier delphic wholesalers aust pty product sold victoria coordinating agency food standards australia new zealand coordinating agency recall product category eggs dairy close,listeria monocytogenes,delphic wholesalers aust pty ltdfetta cheese parmesan cheese,cheese
